Status	Qty	References	MPN	Manufacturer	Description	Supplier	SKU	Datasheet
Auto Selected	1.0	C21	CC0402ZRY5V7BB103	YAGEO	16V 10nF Y5V -20%~+80% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Mouser	CC0402ZRY5V7BB103	https://datasheet.lcsc.com/lcsc/2208251800_YAGEO-CC0402ZRY5V7BB103_C576747.pdf
Auto Selected	1.0	R6	RK73B1ETTP105J	KOA	RES 1M OHM 5% 1/10W 0402	Mouser	RK73B1ETTP105J	https://www.koaspeer.com/pdfs/RK73B.pdf
Auto Selected	1.0	R8	CRGCQ0402F1K5	TE CONNECTIVITY	62.5mW Thick Film Resistors ±100ppm/℃ ±1% 1.5kΩ 0402  Chip Resistor - Surface Mount ROHS	Mouser	CRGCQ0402F1K5	https://datasheet.lcsc.com/lcsc/2304140030_TE-Connectivity-CRGCQ0402F1K5_C2073598.pdf
Auto Selected	2.0	R2 R1	CR0402AJW-822GLF	BOURNS	RESISTOR AEC -Q200	Mouser	CR0402AJW-822GLF	https://www.bourns.com/docs/product-datasheets/crxxxxa.pdf
Auto Selected	2.0	C20 C13	GRM155R61A106ME11D	MURATA	10V 10uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Mouser	GRM155R61A106ME11D	https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM155R61A106ME11D_C408132.pdf
Auto Selected	2.0	C8 C3	CC0402KPX5R6BB105	YAGEO	10V 1uF X5R 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Mouser	CC0402KPX5R6BB105	https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_26.pdf
Auto Selected	1.0	R7	RCG04020000Z0ED	VISHAY	RES SMD 0 OHM JUMPER 1/16W 0402	Mouser	RCG04020000Z0ED	https://www.vishay.com/docs/20047/rcge3.pdf
Auto Selected	1.0	C24	CC0402MRX7R7BB103	YAGEO	16V 10nF X7R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Mouser	CC0402MRX7R7BB103	https://datasheet.lcsc.com/lcsc/2006031835_YAGEO-CC0402MRX7R7BB103_C527024.pdf
Auto Selected	2.0	L2 L1	LCCI0402S4N7GTAR	KYOCERA AVX	FIXED IND 4.7NH 700MA 200MOHM SM	Mouser	LCCI0402S4N7GTAR	https://datasheets.avx.com/AVX-LCCI.pdf
Auto Selected	1.0	C15	CC0402CRNPO9BNR80	YAGEO	50V 0.8pF NP0 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Mouser	CC0402CRNPO9BNR80	https://datasheet.lcsc.com/lcsc/1811070918_YAGEO-CC0402CRNPO9BNR80_C325458.pdf
Auto Selected	8.0	C19 C14 C10 C9 C7 C6 C5 C1	CC0402KPX5R6BB104	YAGEO	10V 100nF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Mouser	CC0402KPX5R6BB104	https://datasheet.lcsc.com/lcsc/2201271030_YAGEO-CC0402KPX5R6BB104_C1853255.pdf
Auto Selected	2.0	R4 R3	CR0402-FX-1801GLF	BOURNS	RES SMD 1.8K OHM 1% 1/16W 0402	Mouser	CR0402-FX-1801GLF	https://www.bourns.com/docs/product-datasheets/CRxxxxx.pdf
Auto Selected	1.0	C22	GRT155R61C105KE01J	MURATA	16V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Mouser	GRT155R61C105KE01J	https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT155R61C105KE01-01.pdf
Auto Selected	1.0	J2	U.FL-R-SMT(10)	HIROSE ELECTRIC	1 Inner needle IPEX Board Edge 1.25mm -40℃~+90℃ 6GHz 50Ω 2mm SMD  RF Connectors / Coaxial Connectors ROHS	Mouser	U.FL-R-SMT(10)	
Auto Selected	1.0	U4	TS971ILT	STMICROELECTRONICS	 SOT-23-5  Operational Amplifier ROHS	Mouser	TS971ILT	https://datasheet.lcsc.com/lcsc/2304140030_STMicroelectronics-TS971ILT_C2802553.pdf
Auto Selected	2.0	C12 C11	CC0402JPNPO9BN150	YAGEO	50V 15pF NP0 ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Mouser	CC0402JPNPO9BN150	https://datasheet.lcsc.com/lcsc/2202151130_YAGEO-CC0402JPNPO9BN150_C1852920.pdf
Auto Selected	1.0	C4	CL05A475MP5NRNC	Samsung Electro-Mechanics	10V 4.7uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Mouser	CL05A475MP5NRNC	https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf
Auto Selected	1.0	X1	TSX-3225 32.0000MF10Z-W6	Seiko Epson	32 MHz ±10ppm Crystal 12pF 40 Ohms 4-SMD, No Lead	Mouser	TSX-3225 32.0000MF10Z-W6	https://datasheet.lcsc.com/lcsc/2201301130_Seiko-Epson-TSX-3225-32-0000MF10Z-W6_C1986412.pdf
Auto Selected	1.0	C18	CGA2B2X5R1A104M050BA	TDK Corp	10V 100nF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	Mouser	CGA2B2X5R1A104M050BA	https://datasheet.lcsc.com/lcsc/2304140030_TDK-CGA2B2X5R1A104M050BA_C2180995.pdf
Potential Alternate Vendors	1.0	D1	FM-B2020RGBA-HG	Foshan NationStar Optoelectronics	RGB SMD,2.1x2.1mm  Light Emitting Diodes (LED) ROHS	 	 	https://datasheet.lcsc.com/lcsc/1810231210_Foshan-NationStar-Optoelectronics-FM-B2020RGBA-HG_C108793.pdf
Potential Alternate Vendors	1.0	Q1	NTA4151PT1G	ON Semiconductor	20V 760mA 360mΩ@4.5V,350mA 301mW P Channel -  MOSFETs ROHS	 	 	https://datasheet.lcsc.com/lcsc/1809212222_onsemi-NTA4151PT1G_C54876.pdf
Potential Alternate Vendors	1.0	Q2	BSS138	Changjiang Electronics Tech (CJ)	50V 220mA 3.5Ω@10V,220mA 360mW N Channel SOT-23  MOSFETs ROHS	 	 	https://datasheet.lcsc.com/lcsc/1809291614_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--BSS138_C78284.pdf
Potential Alternate Vendors	1.0	U1	NRF52840-QIAA-R	Nordic Semiconductor	 AQFN-73-EP(7x7) Advanced Bluetooth 5, Thread and Zigbee multiprotocol SoC	 	 	https://datasheet.lcsc.com/lcsc/2304140030_Nordic-Semicon-NRF52840-QIAA-R_C190794.pdf
Potential Alternate Vendors	1.0	U3	AP3722AT	ALLPOWER(ShenZhen Quan Li Semiconductor)	Omnidirectional -42dB 220Ω 57dB SMD-4P,2.2x3.8mm  MEMS Microphones ROHS	 	 	https://datasheet.lcsc.com/lcsc/2011200934_ALLPOWER-ShenZhen-Quan-Li-Semiconductor-AP3722AT_C918198.pdf
Potential Alternate Vendors	1.0	J1	MY-1632-03	MYOUNG	Battery button CR1632 SMD  Battery Connectors ROHS	 	 	https://datasheet.lcsc.com/lcsc/2109301830_MYOUNG-MY-1632-03_C2902337.pdf
Potential Alternate Vendors	1.0	U2	LIS3DHTR	STMICROELECTRONICS	X,Y,Z LGA-16(3x3)  Attitude Sensor/Gyroscope ROHS	 	 	https://datasheet.lcsc.com/lcsc/1811031937_STMicroelectronics-LIS3DHTR_C15134.pdf
Potential Alternate Vendors	1.0	C2	C0402C101J5RAC7867	YAGEO	50V 100pF X7R ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	 	 	https://datasheet.lcsc.com/lcsc/2304140030_KEMET-C0402C101J5RAC7867_C2180762.pdf
Not Enough Stock	3.0	R11 R10 R9	RMCF0402FT51K0	SEI	RES 51K OHM 1% 1/16W 0402	 	 	https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf
Not Enough Stock	1.0	R5	RT0402BRD07510RL	YAGEO	63mW Thin Film Resistor ±25ppm/℃ ±0.1% 510Ω 0402  Chip Resistor - Surface Mount ROHS	 	 	https://datasheet.lcsc.com/lcsc/2203300930_YAGEO-RT0402BRD07510RL_C852826.pdf
Not Enough Stock	2.0	C17 C16	CC0402CRNPO9BNR50	YAGEO	50V 0.5pF NP0 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS	 	 	https://datasheet.lcsc.com/lcsc/1811141233_YAGEO-CC0402CRNPO9BNR50_C327230.pdf
Not Enough Stock	1.0	C23	VJ0402A151FXACW1BC	Vishay Vitramon	CAP CER 150PF 50V C0G/NP0 0402	 	 	https://www.vishay.com/docs/28548/vjw1bcbascomseries.pdf